data_hora,total_disco_gb,disco_usado_gb,disco_livre_gb,disco_percentual,processador_nome,nucleos_fiscos,nucleos_totais,frequencia_min_ghz,frequencia_max_ghz,frequencia_atual_ghz,cpu_percentual,ram_total_gb,ram_disponivel_gb,ram_percentual,upload_mb,download_mb,mac,ip
09-04-2026 19:37:08,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,25.0,15.35,2.98,80.6,29.82,324.0,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:37:13,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,7.8,15.35,2.99,80.5,29.85,324.08,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:37:17,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,9.5,15.35,2.95,80.8,29.89,324.13,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:37:22,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,14.3,15.35,2.93,80.9,29.91,324.19,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:37:26,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,9.7,15.35,2.95,80.8,29.92,324.23,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:37:31,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,8.8,15.35,2.97,80.6,29.94,324.25,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:37:35,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,8.3,15.35,2.98,80.6,29.94,324.31,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:37:40,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,9.9,15.35,2.99,80.5,29.98,324.37,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:37:44,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,15.1,15.35,3.12,79.6,29.98,324.44,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:37:49,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,8.2,15.35,3.13,79.6,29.99,324.49,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:37:53,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,7.8,15.35,3.12,79.6,30.0,324.53,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:37:57,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,8.6,15.35,3.11,79.7,30.02,324.59,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:02,459.98,368.03,91.94,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,9.8,15.35,3.08,79.9,30.05,324.8,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:06,459.98,368.01,91.97,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,11.1,15.35,3.08,79.9,30.06,324.82,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:11,459.98,368.01,91.97,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,7.7,15.35,3.09,79.9,30.06,324.88,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:15,459.98,368.01,91.97,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,8.8,15.35,3.08,79.9,30.07,324.94,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:20,459.98,368.01,91.97,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,11.4,15.35,3.09,79.9,30.1,324.99,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:24,459.98,368.01,91.96,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,9.9,15.35,3.09,79.9,30.13,325.02,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:29,459.98,368.01,91.96,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,10.8,15.35,3.1,79.8,30.14,325.07,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:33,459.98,368.01,91.96,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,12.0,15.35,3.1,79.8,30.15,325.14,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:38,459.98,368.01,91.96,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,6.9,15.35,3.12,79.7,30.17,325.21,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:42,459.98,368.01,91.96,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,13.8,15.35,3.15,79.5,30.18,325.29,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:47,459.98,368.01,91.96,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,9.3,15.35,3.14,79.5,30.19,325.35,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:51,459.98,368.01,91.96,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,10.7,15.35,3.14,79.5,30.2,325.41,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:38:56,459.98,368.01,91.96,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,9.4,15.35,3.14,79.5,30.21,325.47,E0-2B-E9-6D-2E-C3,192.168.100.34
09-04-2026 19:39:00,459.98,368.01,91.96,80.0,"AMD64 Family 23 Model 104 Stepping 1, AuthenticAMD",8,16,0.0,1.8,1.8,11.5,15.35,3.14,79.5,30.25,325.52,E0-2B-E9-6D-2E-C3,192.168.100.34
