data_hora,pid,usuario,nomeProcesso,usoMemoriaProcessoMB,usoCpuProcesso,mac,ip
18-05-2026 20:45,0,NT AUTHORITY,System Idle Process,0.01,1431.9,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,4,NT AUTHORITY,System,2.35,7.1,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,1288,Sistema,lsass.exe,23.59,0.5,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,1672,Sistema,svchost.exe,20.21,1.5,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2552,Sistema,dwm.exe,67.54,0.5,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2800,Sistema,svchost.exe,11.48,0.5,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2996,DESKTOP-L723IV1,RobloxPlayerBeta.exe,157.31,2.0,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,3552,Sistema,svchost.exe,10.07,0.5,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,4644,Sistema,svchost.exe,23.52,0.5,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,4772,Sistema,MsMpEng.exe,294.93,1.1,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,6984,Sistema,RAPS.exe,14.61,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,7912,Sistema,audiodg.exe,54.45,13.2,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,8652,DESKTOP-L723IV1,svchost.exe,19.85,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,9096,DESKTOP-L723IV1,explorer.exe,236.31,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,11856,Sistema,svchost.exe,17.64,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,11972,DESKTOP-L723IV1,ctfmon.exe,20.98,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,13632,DESKTOP-L723IV1,Discord.exe,171.35,4.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,13668,DESKTOP-L723IV1,Discord.exe,33.7,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,14548,DESKTOP-L723IV1,python.exe,43.74,96.8,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,15120,DESKTOP-L723IV1,Discord.exe,496.82,67.9,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,15448,DESKTOP-L723IV1,chrome.exe,61.62,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,15560,DESKTOP-L723IV1,DiscordSystemHelper.exe,7.33,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,19120,DESKTOP-L723IV1,EpicWebHelper.exe,298.73,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,19292,DESKTOP-L723IV1,EpicGamesLauncher.exe,68.71,6.9,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,20900,DESKTOP-L723IV1,chrome.exe,238.51,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,24724,DESKTOP-L723IV1,mintty.exe,19.13,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,0,NT AUTHORITY,System Idle Process,0.01,1395.3,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,4,NT AUTHORITY,System,2.35,26.8,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,1288,Sistema,lsass.exe,23.59,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,1736,DESKTOP-L723IV1,chrome.exe,76.64,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2552,Sistema,dwm.exe,67.39,2.4,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2800,Sistema,svchost.exe,11.49,1.8,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2996,DESKTOP-L723IV1,RobloxPlayerBeta.exe,156.98,1.2,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,4772,Sistema,MsMpEng.exe,295.36,3.1,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,7912,Sistema,audiodg.exe,54.45,15.4,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,13404,DESKTOP-L723IV1,RadeonSoftware.exe,31.86,1.2,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,13632,DESKTOP-L723IV1,Discord.exe,188.61,4.9,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,14548,DESKTOP-L723IV1,python.exe,43.87,96.4,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,15120,DESKTOP-L723IV1,Discord.exe,497.96,21.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,19292,DESKTOP-L723IV1,EpicGamesLauncher.exe,68.71,7.4,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,22044,DESKTOP-L723IV1,Code.exe,42.29,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,23936,DESKTOP-L723IV1,conhost.exe,7.12,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,0,NT AUTHORITY,System Idle Process,0.01,1414.8,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,4,NT AUTHORITY,System,2.35,9.1,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,1288,Sistema,lsass.exe,23.59,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2552,Sistema,dwm.exe,67.39,1.2,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2800,Sistema,svchost.exe,11.48,1.8,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2996,DESKTOP-L723IV1,RobloxPlayerBeta.exe,156.93,1.2,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,4772,Sistema,MsMpEng.exe,295.64,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,4884,Sistema,SmartByteNetworkService.exe,39.54,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,7912,Sistema,audiodg.exe,54.45,11.1,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,7952,DESKTOP-L723IV1,uihost.exe,40.46,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,13404,DESKTOP-L723IV1,RadeonSoftware.exe,31.81,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,13632,DESKTOP-L723IV1,Discord.exe,150.82,8.0,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,14548,DESKTOP-L723IV1,python.exe,43.88,95.8,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,15120,DESKTOP-L723IV1,Discord.exe,497.73,35.8,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,19292,DESKTOP-L723IV1,EpicGamesLauncher.exe,66.96,4.3,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,0,NT AUTHORITY,System Idle Process,0.01,1410.3,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,4,NT AUTHORITY,System,2.35,8.0,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,1288,Sistema,lsass.exe,23.57,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2456,Sistema,svchost.exe,8.57,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2800,Sistema,svchost.exe,11.49,2.5,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2996,DESKTOP-L723IV1,RobloxPlayerBeta.exe,157.01,3.7,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,4772,Sistema,MsMpEng.exe,294.64,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,6984,Sistema,RAPS.exe,14.5,1.2,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,7912,Sistema,audiodg.exe,54.32,12.4,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,9096,DESKTOP-L723IV1,explorer.exe,234.93,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,13404,DESKTOP-L723IV1,RadeonSoftware.exe,31.81,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,14548,DESKTOP-L723IV1,python.exe,43.9,95.2,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,15120,DESKTOP-L723IV1,Discord.exe,498.72,49.8,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,15560,DESKTOP-L723IV1,DiscordSystemHelper.exe,7.33,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,19292,DESKTOP-L723IV1,EpicGamesLauncher.exe,66.82,8.7,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,20900,DESKTOP-L723IV1,chrome.exe,236.06,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,24724,DESKTOP-L723IV1,mintty.exe,19.14,3.8,E0-2B-E9-6D-2E-C3,192.168.100.34
